file,rel_path,dpi,left_px,left_mm,right_px,right_mm,top_px,top_mm,bottom_px,bottom_mm,max_mm
F28-002.jpg,图片\0807\F28-002.jpg,600.0,0,0.0,0,0.0,0,0.0,45,1.91,1.91
F46-002.jpg,图片\0807\F46-002.jpg,600.0,0,0.0,0,0.0,0,0.0,55,2.33,2.33
F52-003.jpg,图片\0807\F52-003.jpg,600.0,0,0.0,0,0.0,0,0.0,60,2.54,2.54
G22-001.jpg,图片\0807\G22-001.jpg,600.0,176,7.45,0,0.0,90,3.81,0,0.0,7.45
G23-001.jpg,图片\0807\G23-001.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G23-002.jpg,图片\0807\G23-002.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G23-003.jpg,图片\0807\G23-003.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G27-002.jpg,图片\0807\G27-002.jpg,600.0,0,0.0,0,0.0,0,0.0,15,0.64,0.64
G27-003.jpg,图片\0807\G27-003.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G28-001.jpg,图片\0807\G28-001.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G28-002.jpg,图片\0807\G28-002.jpg,600.0,151,6.39,0,0.0,25,1.06,151,6.39,6.39
G28-003.jpg,图片\0807\G28-003.jpg,600.0,120,5.08,0,0.0,70,2.96,0,0.0,5.08
G31-001.jpg,图片\0807\G31-001.jpg,600.0,176,7.45,0,0.0,0,0.0,55,2.33,7.45
G31-002.jpg,图片\0807\G31-002.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G31-003.jpg,图片\0807\G31-003.jpg,600.0,0,0.0,60,2.54,196,8.3,0,0.0,8.3
G44-001.jpg,图片\0807\G44-001.jpg,600.0,110,4.66,0,0.0,30,1.27,0,0.0,4.66
G44-002.jpg,图片\0807\G44-002.jpg,600.0,0,0.0,0,0.0,0,0.0,35,1.48,1.48
G44-003.jpg,图片\0807\G44-003.jpg,600.0,0,0.0,0,0.0,0,0.0,20,0.85,0.85
G46-002.jpg,图片\0807\G46-002.jpg,600.0,95,4.02,0,0.0,40,1.69,0,0.0,4.02
G46-003.jpg,图片\0807\G46-003.jpg,600.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
